01. Ano,02. Nome País (Europa),03. Filtro 1,04. Filtro 2,05. Filtro 3,06. Escala,07. Símbolo,08. Valor
1996,Dinamarca,Comunicações,,,,,149.10
1996,Dinamarca,Educação,,,,,44.30
1996,Dinamarca,"Habitação, água, electricidade, gás e outros combustíveis",,,,,58.20
1996,Dinamarca,"Lazer, recreação e cultura",,,,,90.30
1996,Dinamarca,Produtos alimentares e bebidas não alcoólicas,,,,,69.40
1996,Dinamarca,Restaurantes e hotéis,,,,,62.40
1996,Dinamarca,Saúde,,,,,77.30
1996,Dinamarca,Total,,,,,71.60
1996,Dinamarca,Transportes,,,,,69.60
1996,Dinamarca,Vestuário e calçado,,,,,111.70
1996,Eslováquia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,87.46
1996,Eslováquia,Bebidas alcoólicas e tabaco,,,,,36.94
1996,Eslováquia,Bens e serviços diversos,,,,,44.02
1996,Eslováquia,Comunicações,,,,,39.57
1996,Eslováquia,Educação,,,,,31.84
1996,Eslováquia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,19.38
1996,Eslováquia,"Lazer, recreação e cultura",,,,,57.54
1996,Eslováquia,Produtos alimentares e bebidas não alcoólicas,,,,,57.40
1996,Eslováquia,Restaurantes e hotéis,,,,,39.32
1996,Eslováquia,Saúde,,,,,31.44
1996,Eslováquia,Total,,,,,43.89
1996,Eslováquia,Transportes,,,,,59.68
1996,Eslováquia,Vestuário e calçado,,,,,67.64
1996,Eslovénia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,57.14
1996,Eslovénia,Bebidas alcoólicas e tabaco,,,,,29.59
1996,Eslovénia,Bens e serviços diversos,,,,,44.44
1996,Eslovénia,Comunicações,,,,,61.21
1996,Eslovénia,Educação,,,,,37.42
1996,Eslovénia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,29.30
1996,Eslovénia,"Lazer, recreação e cultura",,,,,54.01
1996,Eslovénia,Produtos alimentares e bebidas não alcoólicas,,,,,46.39
1996,Eslovénia,Restaurantes e hotéis,,,,,40.35
1996,Eslovénia,Saúde,,,,,50.40
1996,Eslovénia,Total,,,,,45.86
1996,Eslovénia,Transportes,,,,,49.08
1996,Eslovénia,Vestuário e calçado,,,,,72.38
1996,Espanha,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,74.35
1996,Espanha,Bebidas alcoólicas e tabaco,,,,,36.59
1996,Espanha,Bens e serviços diversos,,,,,62.19
