01. Ano,02. Nome País (Europa),03. Filtro 1,04. Filtro 2,05. Filtro 3,06. Escala,07. Símbolo,08. Valor
1996,Dinamarca,Educação,,,,,2.1
1996,Dinamarca,"Habitação, água, electricidade, gás e outros combustíveis",,,,,3.6
1996,Dinamarca,"Lazer, recreação e cultura",,,,,-0.3
1996,Dinamarca,Produtos alimentares e bebidas não alcoólicas,,,,,1.8
1996,Dinamarca,Restaurantes e hotéis,,,,,1.9
1996,Dinamarca,Saúde,,,,,0.1
1996,Dinamarca,Total,,,,,2.1
1996,Dinamarca,Transportes,,,,,2.7
1996,Dinamarca,Vestuário e calçado,,,,,0.0
1996,Eslováquia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,d,6.1
1996,Eslováquia,Bebidas alcoólicas e tabaco,,,,d,3.4
1996,Eslováquia,Bens e serviços diversos,,,,d,5.7
1996,Eslováquia,Comunicações,,,,d,3.7
1996,Eslováquia,Educação,,,,d,11.5
1996,Eslováquia,"Habitação, água, electricidade, gás e outros combustíveis",,,,d,4.6
1996,Eslováquia,"Lazer, recreação e cultura",,,,d,10.4
1996,Eslováquia,Produtos alimentares e bebidas não alcoólicas,,,,d,4.0
1996,Eslováquia,Restaurantes e hotéis,,,,d,5.9
1996,Eslováquia,Saúde,,,,d,17.7
1996,Eslováquia,Total,,,,d,5.8
1996,Eslováquia,Transportes,,,,d,6.3
1996,Eslováquia,Vestuário e calçado,,,,d,7.2
1996,Eslovénia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,4.2
1996,Eslovénia,Bebidas alcoólicas e tabaco,,,,,13.1
1996,Eslovénia,Bens e serviços diversos,,,,,11.0
1996,Eslovénia,Comunicações,,,,,4.8
1996,Eslovénia,Educação,,,,,27.6
1996,Eslovénia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,18.4
1996,Eslovénia,"Lazer, recreação e cultura",,,,,11.8
1996,Eslovénia,Produtos alimentares e bebidas não alcoólicas,,,,,9.0
1996,Eslovénia,Restaurantes e hotéis,,,,,10.6
1996,Eslovénia,Saúde,,,,,8.4
1996,Eslovénia,Total,,,,,9.9
1996,Eslovénia,Transportes,,,,,7.9
1996,Eslovénia,Vestuário e calçado,,,,,6.6
1996,Espanha,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,4.4
1996,Espanha,Bebidas alcoólicas e tabaco,,,,,6.9
1996,Espanha,Bens e serviços diversos,,,,,2.9
1996,Espanha,Comunicações,,,,,-0.1
1996,Espanha,Educação,,,,,4.8
